,open,close,high,low,volume,money
2020/7/17 10:30,4524.77,4589.45,4593.29,4499.28,8732350700,1.64E+11
2020/7/17 11:30,4589.48,4502.13,4601.09,4502.13,4011784100,72637884963
2020/7/17 14:00,4499.5,4520.85,4541.34,4485.86,4303356400,71350536132
2020/7/17 15:00,4521.06,4544.7,4557.83,4515.35,3690065100,64837587420
2020/7/20 10:30,4597.2,4588.56,4612.63,4534.59,9781262300,1.74E+11
2020/7/20 11:30,4587.5,4660.62,4660.62,4581.63,5480116200,91875623598
2020/7/20 14:00,4661.18,4640.86,4674.7,4639.14,4654162100,76571776763
2020/7/20 15:00,4640.89,4680.3,4681.9,4636.99,4691350800,73853887818
2020/7/21 10:30,4697.5,4692.14,4714.26,4675.82,10073979400,1.76E+11
2020/7/21 11:30,4691.95,4683.45,4699.43,4661.44,3688103100,63765302309
2020/7/21 14:00,4683.84,4686.08,4693.31,4665.92,2713772000,51847789628
2020/7/21 15:00,4686.08,4691.04,4699.15,4671.53,3565711400,64387231395
2020/7/22 10:30,4682.66,4754.84,4754.84,4675.35,8734150800,1.51E+11
2020/7/22 11:30,4754.92,4755.4,4790.45,4738.79,5480487100,93059742456
2020/7/22 14:00,4755.91,4730.65,4762.77,4722.61,3716305800,63344636979
2020/7/22 15:00,4729.99,4714.45,4748.34,4696.06,4488977400,78655879931
2020/7/23 10:30,4668.74,4647.65,4731.4,4626.02,10703390400,1.76E+11
2020/7/23 11:30,4648.22,4663.11,4668.18,4607.66,4999432000,84732512904
2020/7/23 14:00,4663.32,4692.87,4693.33,4655.08,3505614300,66280528267
2020/7/23 15:00,4692.93,4712.44,4714.19,4692.65,4223020200,77966133516
2020/7/24 10:30,4679.03,4639.72,4691.7,4632.65,7696809600,1.46E+11
2020/7/24 11:30,4640.72,4571.71,4643.04,4571.33,4427808000,81877735868
2020/7/24 14:00,4571.58,4516.16,4571.58,4516.16,6235847900,1.07E+11
2020/7/24 15:00,4515.78,4505.59,4548.14,4479.39,6030054800,1.03E+11
2020/7/27 10:30,4535.01,4511.24,4558.12,4511.24,7229923600,1.34E+11
2020/7/27 11:30,4510.87,4518.48,4543.11,4505.62,3091429700,53344612639
2020/7/27 14:00,4518.31,4530.23,4536.98,4482.47,3625326900,60429180435
2020/7/27 15:00,4530.52,4528.45,4532.61,4497.37,3195374900,53849372043
2020/7/28 10:30,4567.67,4585.57,4585.79,4542.47,7272239200,1.32E+11
2020/7/28 11:30,4586.06,4559.35,4590.25,4551.98,3116339800,55704371031
2020/7/28 14:00,4559.27,4549.14,4567.03,4539.03,2839958300,49324847389
2020/7/28 15:00,4549.34,4568.26,4569.43,4537.68,3048312500,56167174793
2020/7/29 10:30,4559.16,4638.78,4640.69,4548.98,7528379400,1.44E+11
2020/7/29 11:30,4638.11,4631.56,4662.37,4629.33,4136398500,75229925970
2020/7/29 14:00,4632.36,4653.98,4654.87,4628.48,2805065900,55346191164
2020/7/29 15:00,4653.72,4679.01,4680.56,4647.01,4199686700,76186133303
2020/7/30 10:30,4689.76,4676.02,4704.63,4666.06,7622578300,1.47E+11
2020/7/30 11:30,4676.24,4675.13,4691.87,4662.28,2709915200,55482739103
2020/7/30 14:00,4675.23,4679.48,4680.45,4654.77,2751410000,52095233215
2020/7/30 15:00,4679.38,4656.15,4680.75,4649.77,3612853100,69573854498
2020/7/31 10:30,4652.18,4700.05,4741.81,4652.18,7857097800,1.51E+11
2020/7/31 11:30,4700.06,4662.73,4703.47,4621.96,4648946400,86512973490
2020/7/31 14:00,4663.46,4673.17,4683.27,4660.87,2501342100,48577751388
