,open,close,high,low,volume,money
2021/6/18,5104.93,5102.47,5128.03,5064.92,14858580500,3.57E+11
2021/6/21,5088.09,5090.39,5123.78,5058.57,13218451600,3.32E+11
2021/6/22,5106.07,5122.16,5125.82,5086.28,13041675300,3.14E+11
2021/6/23,5127.19,5147.39,5171.03,5109.76,13635605800,3.59E+11
2021/6/24,5156.56,5155.97,5160.43,5120.58,12668562500,3.13E+11
2021/6/25,5159.8,5239.97,5251.61,5157.48,15493106100,3.68E+11
2021/6/28,5253.61,5251.76,5260.64,5226.22,13319378300,3.37E+11
2021/6/29,5248.52,5190.54,5248.52,5182.68,12516299700,3.15E+11
2021/6/30,5189.38,5224.04,5231.43,5186.63,10375267100,2.81E+11
2021/7/1,5241.2,5229.66,5252.26,5190.88,12724062000,3.24E+11
2021/7/2,5186.66,5081.12,5186.66,5074.36,13042642400,3.43E+11
2021/7/5,5073.78,5085.79,5098.23,5048,13121158900,3.35E+11
2021/7/6,5089.78,5083.1,5092.21,5028.51,14065522000,3.63E+11
2021/7/7,5052.42,5140.49,5152.77,5045.41,14854906000,3.37E+11
2021/7/8,5149.31,5088.26,5151.22,5078.93,17390100800,3.98E+11
2021/7/9,5063.15,5069.44,5081.41,5006.41,16065322600,3.53E+11
2021/7/12,5108.38,5132.71,5159.41,5070.32,20621203900,4.37E+11
2021/7/13,5128.61,5142.1,5154.05,5114.94,16648220900,3.61E+11
2021/7/14,5130.75,5083.08,5130.75,5075.13,18835272000,3.73E+11
2021/7/15,5073.26,5151.46,5153.81,5067.68,18107710300,3.72E+11
2021/7/16,5140.9,5094.77,5140.9,5090.63,16995598200,3.63E+11
2021/7/19,5083.73,5113.49,5120.82,5047.62,15319958900,3.40E+11
2021/7/20,5080.22,5108.99,5114,5067.86,12930004400,2.84E+11
2021/7/21,5122.78,5144.04,5160.54,5122.3,16797646900,3.90E+11
2021/7/22,5150.39,5151.75,5171.21,5137.88,18555686400,4.18E+11
2021/7/23,5145.43,5089.23,5145.43,5080,21653684700,4.36E+11
2021/7/26,5067.31,4925.3,5067.31,4859.6,22811171000,4.95E+11
2021/7/27,4924.28,4751.31,4940.86,4749.03,23663122500,5.21E+11
2021/7/28,4714.29,4760.48,4785.66,4663.9,19263439300,4.20E+11
2021/7/29,4845.76,4850.27,4857.97,4800.01,17332205400,4.16E+11
2021/7/30,4825.7,4811.17,4825.7,4761.04,18234977600,4.21E+11
2021/8/2,4794.82,4933.74,4938.82,4761.46,22719491800,5.25E+11
2021/8/3,4909.23,4934.46,4957.03,4890.85,20353336000,4.71E+11
2021/8/4,4927.74,4978.85,4979.29,4919.66,17546646100,4.26E+11
2021/8/5,4946.17,4948.67,4997.14,4921.94,16738182900,3.99E+11
2021/8/6,4943.04,4921.56,4944.35,4891.8,15417968800,3.72E+11
2021/8/9,4890.26,4985.56,5002.89,4884.04,18243687100,4.09E+11
2021/8/10,4977.82,5043.15,5043.76,4941.24,16705190200,4.10E+11
2021/8/11,5037.08,5015.34,5059.79,5009.98,18226607400,3.73E+11
2021/8/12,4998.07,4973.35,5016.26,4962.98,16822373300,3.62E+11
2021/8/13,4958.76,4945.98,4993.74,4921.28,15831432100,3.52E+11
2021/8/16,4935.92,4941.07,4973.38,4931.37,16195337300,3.41E+11
2021/8/17,4935,4837.4,4967.56,4823.39,18757347200,3.88E+11
2021/8/18,4838.47,4894.24,4909.54,4818.9,19747437800,3.96E+11
2021/8/19,4886.56,4862.14,4893.47,4839.57,20171171900,3.97E+11
